delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost
250.99,delhivery,automobile parts,bike,same day,west,clear,297,46.96,00:00.0,00:00.0,no,delivered,3,1632.7206
250.99,xpressbees,cosmetics,ev van,express,central,cold,89.6,47.39,00:00.0,00:00.0,no,delivered,5,640.17
250.99,shadowfax,groceries,truck,two day,east,rainy,273.5,26.89,00:00.0,00:00.0,no,delivered,4,1448.17
250.99,dhl,electronics,ev van,same day,east,cold,269.7,12.69,00:00.0,00:00.0,no,delivered,3,1486.57
250.99,dhl,clothing,van,two day,north,foggy,256.7,37.02,00:00.0,00:00.0,no,delivered,4,1394.56
250.99,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,00:00.0,00:00.0,yes,delayed,3,391.45
250.99,delhivery,groceries,scooter,same day,central,clear,198.3,43.79,00:00.0,00:00.0,no,delivered,3,1222.87
250.99,xpressbees,fragile items,van,same day,north,cold,114.6,42.63,00:00.0,00:00.0,no,delivered,3,800.89
250.99,blue dart,clothing,van,same day,south,hot,142.4,14.06,00:00.0,00:00.0,no,delivered,5,854.18
250.99,delhivery,pharmacy,truck,same day,east,foggy,47.1,29.28,00:00.0,00:00.0,no,delivered,5,423.34
250.99,fedex,groceries,scooter,same day,east,cold,293.2,22.05,00:00.0,00:00.0,no,delivered,4,1632.15
250.99,ecom express,electronics,truck,two day,east,cold,80.4,46.48,00:00.0,00:00.0,no,delivered,5,541.44
250.99,xpressbees,pharmacy,ev van,two day,north,rainy,257.7,20.56,00:00.0,00:00.0,no,delivered,4,1350.18
250.99,xpressbees,cosmetics,bike,express,east,stormy,19,3.36,00:00.0,00:00.0,yes,failed,1,155.08
250.99,xpressbees,automobile parts,ev bike,two day,east,stormy,237.9,24.59,00:00.0,00:00.0,no,delivered,3,1263.27
250.99,amazon logistics,furniture,ev van,express,north,hot,239.3,11.67,00:00.0,00:00.0,yes,delayed,3,1281.51
250.99,fedex,documents,bike,standard,west,stormy,79,0.73,00:00.0,00:00.0,no,delivered,5,397.19
250.99,blue dart,fragile items,ev bike,standard,central,rainy,170.7,45.62,00:00.0,00:00.0,no,delivered,5,990.36
250.99,amazon logistics,documents,van,same day,north,rainy,90,33.7,00:00.0,00:00.0,no,delivered,3,651.1
250.99,fedex,cosmetics,truck,express,north,rainy,64,6.03,00:00.0,00:00.0,yes,failed,2,388.09
250.99,fedex,automobile parts,scooter,two day,east,foggy,185.9,19.1,00:00.0,00:00.0,no,delivered,4,986.8
250.99,dhl,electronics,scooter,two day,west,stormy,217.9,14.08,00:00.0,00:00.0,no,delivered,4,1131.74
250.99,blue dart,automobile parts,scooter,same day,north,cold,214.1,40.85,00:00.0,00:00.0,no,delivered,5,1293.05
250.99,ecom express,clothing,bike,standard,central,clear,251.7,34.9,00:00.0,00:00.0,no,delivered,4,1363.2
250.99,amazon logistics,furniture,van,standard,east,foggy,214.9,5.67,00:00.0,00:00.0,no,delivered,5,1091.51
250.99,shadowfax,documents,ev van,two day,north,stormy,115.4,0.67,00:00.0,00:00.0,no,delivered,4,578.59
250.99,dhl,clothing,ev bike,express,east,foggy,293.8,41.03,00:00.0,00:00.0,yes,delayed,3,1632.7206
250.99,amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,00:00.0,00:00.0,no,delivered,3,1574.01
250.99,fedex,furniture,truck,express,south,hot,136.1,48.1,00:00.0,00:00.0,no,delivered,5,874.8
250.99,dhl,furniture,bike,two day,east,rainy,291.4,6.12,00:00.0,00:00.0,no,delivered,5,1475.36
250.99,fedex,furniture,bike,standard,south,hot,295,19.68,00:00.0,00:00.0,no,delivered,5,1534.04
250.99,ekart,cosmetics,truck,same day,central,rainy,223.3,6.29,00:00.0,00:00.0,yes,failed,1,1235.37
250.99,delhivery,automobile parts,scooter,express,south,hot,242.5,46.73,00:00.0,00:00.0,yes,failed,1,1402.69
250.99,fedex,furniture,ev bike,two day,central,rainy,35.1,22.72,00:00.0,00:00.0,no,delivered,5,243.66
250.99,amazon logistics,clothing,bike,express,central,stormy,81.8,45.51,00:00.0,00:00.0,yes,delayed,2,595.53
250.99,delhivery,documents,bike,same day,east,clear,37.6,22.81,00:00.0,00:00.0,no,delivered,4,356.43
250.99,amazon logistics,furniture,ev bike,express,north,rainy,46.8,4.72,00:00.0,00:00.0,yes,delayed,2,298.16
250.99,amazon logistics,electronics,scooter,same day,central,hot,233.4,18,00:00.0,00:00.0,no,delivered,5,1321
250.99,ekart,documents,bike,standard,east,rainy,62.2,48.58,00:00.0,00:00.0,no,delivered,3,456.74
250.99,shadowfax,clothing,ev bike,standard,south,foggy,114,43.85,00:00.0,00:00.0,no,delivered,4,701.55
250.99,blue dart,automobile parts,ev bike,same day,north,foggy,131.5,25.79,00:00.0,00:00.0,no,delivered,5,834.87
250.99,xpressbees,groceries,ev van,express,south,rainy,21.4,16.58,00:00.0,00:00.0,yes,delayed,3,206.74
