delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost,delay_hours,delay_pct,co2_kg,opt_score
250.99,delhivery,automobile parts,bike,same day,west,clear,297.0,46.96,0.0,0.0,no,delivered,3,1632.7206,0.0,0.0,14.850000000000001,0.42998990238976775
250.99,xpressbees,cosmetics,ev van,express,central,cold,89.6,47.39,0.0,0.0,no,delivered,5,640.17,0.0,0.0,0.0,0.15683516212143092
250.99,shadowfax,groceries,truck,two day,east,rainy,273.5,26.89,0.0,0.0,no,delivered,4,1448.17,0.0,0.0,136.75,0.6309566132017816
250.99,dhl,electronics,ev van,same day,east,cold,269.7,12.69,0.0,0.0,no,delivered,3,1486.57,0.0,0.0,0.0,0.3641945841805389
250.99,dhl,clothing,van,two day,north,foggy,256.7,37.02,0.0,0.0,no,delivered,4,1394.56,0.0,0.0,51.34,0.44533532853145663
250.99,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,0.0,0.0,yes,delayed,3,391.45,0.0,0.0,0.0,0.09590128280368361
250.99,delhivery,groceries,scooter,same day,central,clear,198.3,43.79,0.0,0.0,no,delivered,3,1222.87,0.0,0.0,9.915000000000001,0.3196143177699149
250.99,xpressbees,fragile items,van,same day,north,cold,114.6,42.63,0.0,0.0,no,delivered,3,800.89,0.0,0.0,22.92,0.24249737859019604
250.99,blue dart,clothing,van,same day,south,hot,142.4,14.06,0.0,0.0,no,delivered,5,854.18,0.0,0.0,28.480000000000004,0.26678143109464564
250.99,delhivery,pharmacy,truck,same day,east,foggy,47.1,29.28,0.0,0.0,no,delivered,5,423.34,0.0,0.0,23.55,0.15127375380458155
250.99,fedex,groceries,scooter,same day,east,cold,293.2,22.05,0.0,0.0,no,delivered,4,1632.15,0.0,0.0,14.66,0.42946640198375563
250.99,ecom express,electronics,truck,two day,east,cold,80.4,46.48,0.0,0.0,no,delivered,5,541.44,0.0,0.0,40.2,0.21383209897954147
